reviewer name,rating,review title,date of review,Review body,verified buyer status,HelpfullYes,HelpfullNo
Jessica S.,5,Amazing,10/27/2023,Very light and gives a natural blush look.,Verified Buyer,10,256
Savannah,5,"Does not cause acne, lasts all day... not for lips",10/26/2023,I have used just about an entire stick of Tenderly and I LOVVVEEE this product. Has not caused any irritation and the color lasts all day if I don't touch my face. I use a Morphe blush to buff around the edges when I put circles on my cheeks. I do NOT use this on my lips. Way too dry for my lips.,Verified Buyer,10,244
Breanna F.,5,Pretty,10/23/2023,Pretty color. Subtle and natural looking contour. Easy to apply. Moisturizing and doesn’t irritate my skin.,Verified Buyer,14,240
YJ A.,5,Amazing!!!,10/22/2023,"I am extremely pleased with my recent cosmetics order. The eyeshadow's texture and color are absolutely stunning. It applies smoothly, and within just 30 seconds, the creamy texture adheres flawlessly to the skin, delivering a truly beautiful color. The multi-stick is wonderfully moisturizing and applies thinly and softly, imparting an elegant hue. The mini sets are not only adorable but also incredibly practical, and the overall product quality is exceptional. These cosmetics complement my skin tone perfectly, achieving a natural and healthy makeup look. I'm already eager to explore the rest of the product range!",Verified Buyer,15,227
Cindy W.,5,Multi-stick,10/17/2023,Love it and easily blend-able with other sticks for the perfect color!,Verified Buyer,28,216
Jazz M.,5,"Fantastic, dewy, glowy blush!",09/27/2023,"I first received this blush as part of a pallet pack, and fell in love with this shade (tenderly) immediately. It's wonderful: easy to apply wherever you like; feels luxurious and moisturizing (like it's good for your skin), gives a natural rosy appearance to the cheeks (and lips) which is subtle enough to look natural, it makes me look healthy and glowing (even on bad days when I'm dehydrated or tired and my skin isn't looking that fresh).
It makes me feel beautiful, but not overly 'made-up', and the tint is very flattering and romantic on pale skin. It has a nice smooth texture and is so easy to rub in (or dab). It works just as well on bare skin as it does after applying Ilia's tinted sunscreen serum (or any zinc sunscreen). Very happy I got it in the larger size as I use it nearly every day - and have received so many compliments! Total winner here, folks!",Verified Buyer,12,58
Kimberly E.,5,love my cheeks!,09/21/2023,"Sweet, blendable color that go from shy to bold!",Verified Buyer,28,56
Brittany H.,5,Quick & Easy Natural Contour,09/15/2023,I love this color -- it looks so natural on my skin but adds just enough contrast for a quick contour under my cheekbones.,Verified Buyer,29,62
Kate W.,5,A gorgeous time saver!,09/13/2023,"So, most of us are in a rush these days- and if you’re not, you just don’t want to have to use a bunch of products to create a beautiful/fresh looking face. Having a multi-stick in your make up routine is a game changer, it creates a cohesive look in a matter of seconds. I received a free sample of Ilia’s multi-stick in the shade Dear Ruby, from pinchme in exchange for my honest review. I want to be clear, I would purchase any of Ilia’s products (whether I was incentivized or not), they are an awesome clean brand. I absolutely adore the color of this multi-stick, It’s a poppy red and it just makes me look and feel more alive. I have very pale skin, and naturally dark circles under my eyes. When I don’t wear make up, my dark circles are the first thing that you notice. If you look at my before and after pictures, you’ll see that my face looks more alive after using Ilia’s multi-stick on my cheeks and lips (and it detracts from my dark circles). It’s pretty amazing that using a multi stick and taking 30 seconds to apply it and blend would make that big of a difference, but it really does! Why I love this Ilia multi-stick: all of the ingredients are natural so it’s like skin care and make up in one (think skin benefits), It has a nice texture that blends beautifully on skin, It feels light on my skin and never sticky, and it wears well throughout the day. Not to mention it’s a space saver, having one multi stick for multiple purposes. It has no scent which I love, because It is unnecessary for beauty products to be scented. It is super easy to use and quick as quick can be (when you are running late and look like death, just take 30 seconds to apply the multi-stick and it’s like a new you). Clean ingredients, amazing color pay off (buildable coverage which is great), a smooth texture, and a healthy looking face. Need I say more?!",Verified Buyer,140,18
Kari,4,Cheeky Highlighter!,09/13/2023,This product really highlighted and brought out my high cheekbones. I tried fine romance berry and it was the perfect shade for my skin tone. So thankful to have had the opportunity to try this product! The cleanser also worked really well in removing my makeup without feeling too drying.,Verified Buyer,10,179
